longitude,latitude
76.567,-37.35
116.133,-37.2
-52.233,-37.183
-97.913,-37.148
-39.9917,-37.0717
-39.97,-37.0533
-81.8333,-37.05
-163.233,-37.033
123.3,-36.983
-74.648,-36.897
-74.488,-36.872
44.8,-36.867
76.367,-36.867
-93.667,-36.683
-93.633,-36.683
-83.25,-36.633
124.283,-36.633
-94.81,-36.617
121.692,-36.55
102.542,-36.532
3.545,-36.5
102.608,-36.497
-74.428,-36.493
80.025,-36.493
-163.15,-36.483
97.47,-36.445
98.667,-36.3
10.278,-36.288
-106.4,-36.25
49.467,-36.25
75.983,-36.117
-134.417,-36.0
155.17,-35.99
99.992,-35.92
17.087,-35.918
59.967,-35.917
1.33,-35.9
105.158,-35.862
17.087,-35.818
81.628,-35.817
73.6,-35.783
13.863,-35.767
-92.7,-35.733
44.75,-35.517
28.95,-35.483
91.875,-35.425
91.875,-35.423
108.218,-35.35
-124.983,-35.217
101.97,-35.12
101.975,-35.11
35.947,-35.078
-6.72,-35.063
-91.958,-34.95
-91.983,-34.933
-88.69,-34.907
-8.747,-34.86
-74.933,-34.833
